squad,season_id,window,direction,player,norm_key,pos,age,nat,club,fee_eur,fee_text,photo
Lyon,2026,summer,in,Mohamed Ouédraogo,mohamed ouedraogo,Left-Back,23,Burkina Faso,SCR Altach,2200000.0,€2.20m,https://img.a.transfermarkt.technology/portrait/medium/1107570-1752849806.jpg?lm=1
Lyon,2026,summer,in,Kaïl Boudache,kail boudache,Right Winger,20,Algeria,Nice,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/1097113-1741655048.png?lm=1
Lyon,2026,summer,in,Martín Satriano,martin satriano,Centre-Forward,25,Uruguay,Getafe,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/640109-1626685122.jpg?lm=1
Lyon,2026,summer,in,Duje Caleta-Car,duje caleta-car,Centre-Back,29,Croatia,Real Sociedad,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/238266-1662069879.jpg?lm=1
Lyon,2026,summer,in,Matt Turner,matt turner,Goalkeeper,32,United States,New England,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/425306-1771708610.jpg?lm=1
Lyon,2026,summer,in,Mahamadou Diawara,mahamadou diawara,Central Midfield,21,France,Royal Antwerp,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1053147-1713179514.jpeg?lm=1
Lyon,2026,summer,in,Enzo Molebe,enzo molebe,Centre-Forward,18,France,Montpellier,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1106860-1773267865.png?lm=1
Lyon,2026,summer,in,Alejandro Gomes Rodríguez,alejandro gomes rodriguez,Centre-Forward,18,England,FC Annecy,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1108478-1773276775.jpg?lm=1
Lyon,2026,summer,in,Paul Akouokou,paul akouokou,Defensive Midfield,28,Cote d'Ivoire,Real Zaragoza,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/429901-1779142558.jpg?lm=1
Lyon,2026,summer,in,Justin Bengui,justin bengui,Goalkeeper,20,France,RWDM Brussels,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/802986-1756925122.jpg?lm=1
Lyon,2026,summer,out,Afonso Moreira,afonso moreira,Left Winger,21,Portugal,Leverkusen,29500000.0,€29.50m,https://img.a.transfermarkt.technology/portrait/medium/952282-1688369515.jpg?lm=1
Lyon,2026,summer,out,Martín Satriano,martin satriano,Centre-Forward,25,Uruguay,Getafe,6500000.0,€6.50m,https://img.a.transfermarkt.technology/portrait/medium/640109-1626685122.jpg?lm=1
