squad,player,norm_key,ucl_starts,ucl_apps,uel_starts,uel_apps,conf_starts,conf_apps,beker_starts,beker_apps,euro_starts,euro_apps,cup_starts,cup_apps
Utrecht,Siebe Horemans,siebe horemans,0,0,6,6,0,0,0,0,6,6,0,0
Utrecht,Gjivai Zechiël,gjivai zechiel,0,0,6,7,0,0,0,0,6,7,0,0
Utrecht,Mike van der Hoorn,mike van der hoorn,0,0,5,7,0,0,0,0,5,7,0,0
Utrecht,Sébastien Haller,sebastien haller,0,0,5,7,0,0,0,0,5,7,0,0
Utrecht,Dani de Wit,dani de wit,0,0,5,6,0,0,0,0,5,6,0,0
Utrecht,Derry John Murkin,derry john murkin,0,0,4,7,0,0,0,0,4,7,0,0
Utrecht,Yoann Cathline,yoann cathline,0,0,4,5,0,0,0,0,4,5,0,0
Utrecht,Niklas Vesterlund,niklas vesterlund,0,0,3,4,0,0,0,0,3,4,0,0
Utrecht,Adrian Blake,adrian blake,0,0,3,7,0,0,0,0,3,7,0,0
Utrecht,Can Bozdogan,can bozdogan,0,0,3,5,0,0,0,0,3,5,0,0
Utrecht,Matisse Didden,matisse didden,0,0,3,4,0,0,0,0,3,4,0,0
Utrecht,Mike Eerdhuijzen,mike eerdhuijzen,0,0,2,3,0,0,0,0,2,3,0,0
Utrecht,David Min,david min,0,0,2,5,0,0,0,0,2,5,0,0
Utrecht,Michael Brouwer,michael brouwer,0,0,2,3,0,0,0,0,2,3,0,0
Utrecht,Zidane Iqbal,zidane iqbal,0,0,1,2,0,0,0,0,1,2,0,0
Utrecht,Miliano Jonathans,miliano jonathans,0,0,0,2,0,0,0,0,0,2,0,0
Utrecht,Davy van den Berg,davy van den berg,0,0,0,3,0,0,0,0,0,3,0,0
Utrecht,Jaygo Van Ommeren,jaygo van ommeren,0,0,0,1,0,0,0,0,0,1,0,0
Utrecht,Bjorn Menzo,bjorn menzo,0,0,0,2,0,0,0,0,0,2,0,0
Utrecht,Rafik El Arguioui,rafik el arguioui,0,0,0,2,0,0,0,0,0,2,0,0
