squad,season_id,window,direction,player,norm_key,pos,age,nat,club,fee_eur,fee_text,photo
Ajax,2026,summer,out,Sivert Mannsverk,sivert mannsverk,Defensive Midfield,24,Norway,Sparta Prague,2500000.0,€2.50m,https://img.a.transfermarkt.technology/portrait/medium/510310-1668692766.jpg?lm=1
Ajax,2026,summer,out,Wout Weghorst,wout weghorst,Centre-Forward,33,Netherlands,FC Twente,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/228645-1727259675.jpg?lm=1
Ajax,2026,summer,out,Oleksandr Zinchenko,oleksandr zinchenko,Left-Back,29,Ukraine,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/203853-1688658681.jpg?lm=1
Ajax,2026,summer,out,Takehiro Tomiyasu,takehiro tomiyasu,Centre-Back,27,Japan,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/331560-1682591217.jpg?lm=1
Ajax,2026,summer,out,Branco van den Boomen,branco van den boomen,Central Midfield,30,Netherlands,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/203938-1682946572.jpg?lm=1
Ajax,2026,summer,out,Vitezslav Jaros,vitezslav jaros,Goalkeeper,24,Czech Republic,Liverpool,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/486604-1696603392.jpg?lm=1
Ajax,2026,winter,in,Gastón Ávila,gaston avila,Centre-Back,25,Argentina,Rosario Central,,End of loan 31/12/2026,https://img.a.transfermarkt.technology/portrait/medium/748601-1666894690.jpg?lm=1
Feyenoord,2026,summer,in,Nacho Ferri,nacho ferri,Centre-Forward,21,Spain,KVC Westerlo,9000000.0,€9.00m,https://img.a.transfermarkt.technology/portrait/medium/867357-1696509071.jpg?lm=1
Feyenoord,2026,summer,in,Charles Vanhoutte,charles vanhoutte,Defensive Midfield,27,Belgium,Nice,5500000.0,€5.50m,https://img.a.transfermarkt.technology/portrait/medium/569845-1757513060.jpg?lm=1
Feyenoord,2026,summer,in,Mika Mármol,mika marmol,Centre-Back,24,Spain,UD Las Palmas,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/617060-1737366208.jpg?lm=1
Feyenoord,2026,summer,in,Gjivai Zechiël,gjivai zechiel,Central Midfield,22,Netherlands,Utrecht,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/571149-1753095450.jpg?lm=1
Feyenoord,2026,summer,in,Ramiz Zerrouki,ramiz zerrouki,Defensive Midfield,28,Algeria,FC Twente,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/416660-1780563169.jpg?lm=1
Feyenoord,2026,summer,in,Calvin Stengs,calvin stengs,Attacking Midfield,27,Netherlands,Pisa,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/409344-1697637081.jpg?lm=1
Feyenoord,2026,summer,in,Luka Ivanušec,luka ivanusec,Attacking Midfield,27,Croatia,PAOK,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/387105-1762637498.png?lm=1
Feyenoord,2026,summer,in,Jeyland Mitchell,jeyland mitchell,Centre-Back,21,Costa Rica,Sturm Graz,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/856068-1720029351.jpg?lm=1
Feyenoord,2026,summer,in,Neraysho Kasanwirjo,neraysho kasanwirjo,Centre-Back,24,Netherlands,Fortuna Sittard,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/503640-1745076272.jpg?lm=1
