target_club,player,pos_detail,age,current_club,market_value_eur,probability,date
Parma,Melayro Bogarde,Defensive Midfield,24,LASK,4000000.0,,19/04/2026
Pisa,Argyris Darelas,Attacking Midfield,22,Without ClubWithout Club,325000.0,,09/07/2026
Pisa,Lorenzo Anghelè,Second Striker,21,Juventus Next Gen,600000.0,,01/07/2026
Pisa,Manuel De Luca,Centre-Forward,27,US Cremonese,1300000.0,,29/06/2026
Pisa,Emanuele Rao,Left Winger,20,SSC Napoli,6000000.0,,15/06/2026
Roma,Nicolò Tresoldi,Centre-Forward,21,Club Brugge KV,25000000.0,43,14/07/2026
Roma,Crysencio Summerville,Left Winger,24,West Ham United,35000000.0,,13/07/2026
Roma,Alejandro Garnacho,Left Winger,22,Chelsea FC,28000000.0,41,13/07/2026
Roma,Diego Moreira,Left Midfield,21,RC Strasbourg Alsace,25000000.0,33,13/07/2026
Roma,Can Uzun,Attacking Midfield,20,Eintracht Frankfurt,45000000.0,17,12/07/2026
Roma,Antonio Nusa,Left Winger,21,RB Leipzig,32000000.0,,09/07/2026
Roma,Mason Greenwood,Right Winger,24,Olympique Marseille,55000000.0,35,07/07/2026
Roma,Paulo Dybala,Second Striker,32,AS Roma,5000000.0,97,07/07/2026
Roma,Saël Kumbedi,Right-Back,21,VfL Wolfsburg,12000000.0,,03/07/2026
Roma,Lorenzo Pellegrini,Attacking Midfield,30,Without ClubWithout Club,8000000.0,65,03/07/2026
Roma,Zeki Çelik,Right-Back,29,Without ClubWithout Club,14000000.0,86,02/07/2026
Roma,Gustavo Puerta,Central Midfield,22,Racing Santander,10000000.0,,27/06/2026
Roma,Matteo Ruggeri,Left-Back,24,Atlético de Madrid,28000000.0,,26/06/2026
Roma,Arne Engels,Central Midfield,22,Celtic FC,20000000.0,,26/06/2026
Roma,Remo Freuler,Central Midfield,34,Without ClubWithout Club,3000000.0,,26/06/2026
Roma,Keinan Davis,Centre-Forward,28,Udinese Calcio,10000000.0,,22/06/2026
Roma,William Gomes,Right Winger,20,FC Porto,25000000.0,,22/06/2026
Roma,Julian Brandt,Attacking Midfield,30,Without ClubWithout Club,15000000.0,,20/06/2026
Roma,Davide Zappacosta,Right Midfield,34,Atalanta BC,3500000.0,,18/06/2026
Roma,Dodô,Right-Back,27,ACF Fiorentina,16000000.0,,18/06/2026
Roma,Mert Kömür,Attacking Midfield,20,FC Augsburg,12000000.0,,13/06/2026
Roma,Christian Pulisic,Right Winger,27,AC Milan,40000000.0,,13/06/2026
Roma,Jhon Lucumí,Centre-Back,28,Bologna FC 1909,22000000.0,,12/06/2026
Roma,Kerim Alajbegovic,Left Winger,18,Bayer 04 Leverkusen,22000000.0,28,09/06/2026
Roma,Antonio Vergara,Attacking Midfield,23,SSC Napoli,15000000.0,,09/06/2026
Sassuolo,Daniel Maldini,Attacking Midfield,24,Atalanta BC,9000000.0,,12/07/2026
Sassuolo,Eman Košpo,Centre-Back,19,ACF Fiorentina,1500000.0,,11/07/2026
Sassuolo,Cristian Shpendi,Centre-Forward,23,Cesena FC,4500000.0,,09/07/2026
Sassuolo,Ignace Van der Brempt,Right-Back,24,Como 1907,3000000.0,,06/07/2026
Sassuolo,Kieron Bowie,Centre-Forward,23,Hellas Verona,7000000.0,,06/07/2026
Sassuolo,Giuseppe Aurelio,Left-Back,26,Spezia Calcio,600000.0,,04/07/2026
Sassuolo,Ognjen Ugresic,Central Midfield,19,FK Partizan Belgrade,10000000.0,,03/07/2026
Sassuolo,Mattia Liberali,Attacking Midfield,19,US Catanzaro,8500000.0,,29/06/2026
Sassuolo,Anton Gaaei,Right-Back,23,Ajax Amsterdam,5000000.0,,25/06/2026
Sassuolo,Simon Sohm,Central Midfield,25,ACF Fiorentina,8000000.0,,23/06/2026
Sassuolo,Maurits Kjærgaard,Central Midfield,23,Red Bull Salzburg,8000000.0,,20/06/2026
Sassuolo,Gabriele Zappa,Right-Back,26,Cagliari Calcio,3000000.0,,17/06/2026
Sassuolo,Davide Calabria,Right-Back,29,Panathinaikos,4500000.0,,16/06/2026
Sassuolo,Costantino Favasuli,Right Midfield,22,US Catanzaro,4000000.0,,11/06/2026
Sassuolo,Giuseppe Leone,Defensive Midfield,25,Without ClubWithout Club,2000000.0,,04/06/2026
Sassuolo,Manuel Lazzari,Right-Back,32,SS Lazio,2000000.0,,02/06/2026
Sassuolo,Arijanet Murić,Goalkeeper,27,US Sassuolo,7500000.0,,01/06/2026
Sassuolo,Francesco Camarda,Centre-Forward,18,AC Milan,15000000.0,,28/05/2026
Torino,Diego Mascardi,Goalkeeper,19,Spezia Calcio,1300000.0,74,14/07/2026
Torino,Pietro Comuzzo,Centre-Back,21,ACF Fiorentina,18000000.0,,12/07/2026
Torino,Kristijan Jakic,Defensive Midfield,29,FC Augsburg,6000000.0,52,12/07/2026
Torino,Ben Nelson,Centre-Back,22,Leicester City,1500000.0,13,10/07/2026
Torino,Ryan Fosso,Defensive Midfield,24,SK Sturm Graz,2000000.0,,09/07/2026
Torino,Alessandro Confente,Goalkeeper,28,SS Juve Stabia,700000.0,,08/07/2026
Torino,Nathan Gassama,Centre-Back,25,Baltika Kaliningrad,1500000.0,,08/07/2026
Torino,Costantino Favasuli,Right Midfield,22,US Catanzaro,4000000.0,,07/07/2026
Torino,Lucas Perri,Goalkeeper,28,Leeds United,10000000.0,,06/07/2026
Torino,Aaron Ramsdale,Goalkeeper,28,Southampton FC,12000000.0,,06/07/2026
Torino,Orlando Gill,Goalkeeper,26,CA San Lorenzo de Almagro,6000000.0,45,04/07/2026
Torino,Matteo Cancellieri,Right Winger,24,SS Lazio,7000000.0,,25/06/2026
Torino,Niccolò Fortini,Left-Back,20,ACF Fiorentina,10000000.0,,24/06/2026
Torino,Andrea Giorgini,Centre-Back,24,SS Juve Stabia,2000000.0,,23/06/2026
Torino,Daniel Tonoli,Centre-Back,23,Modena FC,4000000.0,,20/06/2026
Torino,Federico Ravaglia,Goalkeeper,26,Bologna FC 1909,1800000.0,,17/06/2026
Torino,Adrián Bernabé,Central Midfield,25,Parma Calcio 1913,15000000.0,,16/06/2026
Torino,Lorenzo Montipò,Goalkeeper,30,Hellas Verona,1200000.0,,11/06/2026
Torino,Ognjen Ugresic,Central Midfield,19,FK Partizan Belgrade,10000000.0,,10/06/2026
Torino,Rafa Obrador,Left-Back,22,SL Benfica,5000000.0,,04/06/2026
Torino,Ivan Zhelizko,Defensive Midfield,25,Lechia Gdansk,4000000.0,,02/06/2026
Torino,Lazar Nikolic,Right-Back,26,FK Vojvodina Novi Sad,2000000.0,,01/06/2026
Torino,Luigi Cherubini,Left Winger,22,AS Roma,3000000.0,,01/06/2026
Torino,Tommaso Barbieri,Right-Back,23,US Cremonese,3800000.0,,27/05/2026
Torino,Bamba Dieng,Centre-Forward,26,Without ClubWithout Club,15000000.0,,22/05/2026
Udinese,Gonzalo Tapia,Centre-Forward,24,São Paulo Futebol Clube,3500000.0,,14/07/2026
Udinese,Ognjen Ugresic,Central Midfield,19,FK Partizan Belgrade,10000000.0,,13/07/2026
Udinese,Mërgim Vojvoda,Right-Back,31,Como 1907,2500000.0,,11/07/2026
Udinese,Kevin Zeroli,Central Midfield,21,Milan Futuro,3300000.0,,11/07/2026
Udinese,Warren Bondo,Central Midfield,22,AC Milan,6000000.0,,11/07/2026
Udinese,Sankhoun Diawara,Centre-Back,20,ESTAC Troyes,2000000.0,,11/07/2026
Udinese,Federico Baschirotto,Centre-Back,29,US Cremonese,3500000.0,,10/07/2026
Udinese,Federico Bonazzoli,Centre-Forward,29,US Cremonese,2500000.0,,23/06/2026
Udinese,Lukas Cerv,Central Midfield,25,FC Viktoria Plzen,6000000.0,,20/06/2026
Udinese,Maurits Kjærgaard,Central Midfield,23,Red Bull Salzburg,8000000.0,,20/06/2026
Udinese,Santiago Ramos Mingo,Centre-Back,24,Esporte Clube Bahia,12000000.0,,17/06/2026
Udinese,Francisco Ortega,Left-Back,27,Olympiacos Piraeus,7000000.0,,11/06/2026
Udinese,John Kennedy,Centre-Forward,24,Fluminense Football Club,9000000.0,,05/06/2026
Udinese,Nosa Edward Obaretin,Centre-Back,23,SSC Napoli,1500000.0,,05/06/2026
Udinese,Federico Ravaglia,Goalkeeper,26,Bologna FC 1909,1800000.0,,04/06/2026
Udinese,Patrice Covic,Attacking Midfield,19,SV Werder Bremen,4000000.0,,03/06/2026
Udinese,César Palacios,Attacking Midfield,21,Real Madrid,7500000.0,,03/06/2026
Udinese,Sabil Hansen,Right-Back,20,Randers FC,600000.0,,26/05/2026
Udinese,Victor Nelsson,Centre-Back,27,Galatasaray,6000000.0,,23/05/2026
Udinese,István Átrok,Left Winger,20,MTK Budapest,500000.0,,14/05/2026
Udinese,Dantas,Centre-Back,21,Club Athletico Paranaense,700000.0,,12/05/2026
Udinese,Phil Harres,Centre-Forward,24,Holstein Kiel,2500000.0,,07/05/2026
