player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal,tm_photo
Mayckel Lahdo,Nantes,"FW,MF",22,415,0.22,0.22,0.65,0.22,0.217,0.0,0.435,1.087,1.304,0.217,,mayckel lahdo,,,,,,
Mohamed Kaba,Nantes,MF,23,918,0.0,0.2,1.08,0.59,0.196,1.373,1.471,1.275,2.647,0.0,,mohamed kaba,,,,,,
Mostafa Mohamed,Nantes,FW,27,1152,0.31,0.0,2.73,0.62,0.703,0.547,0.547,1.406,2.109,0.312,,mostafa mohamed,2027-06-30,462348.0,2026-07-09T08:47:15,2023-07-01,,https://img.a.transfermarkt.technology/portrait/medium/462348-1703065403.jpg?lm=1
Nicolas Cozza,Nantes,DF,26,2301,0.0,0.04,0.43,0.12,0.859,0.82,1.055,0.898,1.211,0.0,,nicolas cozza,,,,,,
Patrik Carlgren,Nantes,GK,33,182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,patrik carlgren,,,,,,
Rémy Cabella,Nantes,"MF,FW",35,572,0.16,0.0,1.42,0.79,5.781,0.938,1.094,1.094,1.719,0.312,,remy cabella,,,,,,
Sékou Doucoure,Nantes,DF,20,45,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,,sekou doucoure,2029-06-30,825438.0,2026-07-09T08:47:15,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/825438-1753112262.jpg?lm=1
Tylel Tati,Nantes,DF,17,1721,0.0,0.0,0.16,0.0,0.052,0.733,0.681,1.309,0.785,0.0,,tylel tati,2030-06-30,1241207.0,2026-07-09T08:47:15,2025-08-01,,https://img.a.transfermarkt.technology/portrait/medium/1241207-1764146203.jpg?lm=1
Uroš Radaković,Nantes,DF,31,101,0.0,0.0,0.89,0.0,0.0,3.636,1.818,1.818,0.0,0.0,,uros radakovic,,,,,,
Yassine Benhattab,Nantes,"MF,FW",22,477,0.0,0.0,0.75,0.19,4.717,0.0,1.132,0.566,0.566,0.189,,yassine benhattab,2028-06-30,796589.0,2026-07-09T08:47:15,2024-08-30,,https://img.a.transfermarkt.technology/portrait/medium/796589-1758286910.jpg?lm=1
Youssef El-Arabi,Nantes,FW,38,941,0.29,0.0,1.43,0.86,0.19,0.381,0.857,2.095,2.19,0.952,,youssef el-arabi,,,,,,
Abdulai Juma Bah,Nice,DF,19,1958,0.0,0.0,0.32,0.09,0.0,1.376,0.826,1.239,0.321,0.138,,abdulai juma bah,,,,,,
