player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal,tm_photo
Antonio Sánchez,Mallorca,"MF,DF",28.0,1073,0.0,0.0,0.5,0.25,2.437,1.345,1.008,1.345,0.84,0.084,,antonio sanchez,2018-07-01,513031,2026-07-03T08:31:59,2018-07-01,,https://img.a.transfermarkt.technology/portrait/medium/513031-1576533215.jpg?lm=1
Dani Rodríguez,Mallorca,"FW,MF",37.0,68,0.0,0.0,1.32,0.0,2.5,0.0,1.25,0.0,3.75,0.0,,dani rodriguez,2018-07-01,139435,2026-07-03T08:31:59,2018-07-01,,https://img.a.transfermarkt.technology/portrait/medium/139435-1583332711.jpg?lm=1
David López,Mallorca,DF,22.0,837,0.0,0.0,0.43,0.0,0.0,0.968,0.753,1.398,0.43,0.0,,david lopez,2024-01-31,947431,2026-07-03T08:31:59,2024-01-31,,https://img.a.transfermarkt.technology/portrait/medium/947431-1725880281.jpg?lm=1
Jan Salas,Mallorca,MF,19.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,jan salas,2025-07-01,1063574,2026-07-03T08:31:59,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Jan Virgili,Mallorca,"MF,FW",19.0,1792,0.1,0.2,1.61,0.8,2.362,0.352,0.503,1.106,1.206,0.101,,jan virgili,2025-08-28,1301775,2026-07-03T08:31:59,2025-08-28,,https://img.a.transfermarkt.technology/portrait/medium/1301775-1750759323.jpg?lm=1
Javier Llabrés,Mallorca,MF,22.0,187,0.0,0.0,2.41,0.96,4.762,0.0,0.952,1.905,1.429,0.0,,javier llabres,,,,,,
Javier Olaizola,Mallorca,DF,18.0,51,0.0,0.0,0.0,0.0,5.0,0.0,1.667,0.0,1.667,0.0,,javier olaizola,,1385448,2026-07-03T08:31:59,,,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Johan Mojica,Mallorca,DF,32.0,2724,0.0,0.13,0.56,0.07,4.389,0.792,0.99,0.957,0.99,0.066,,johan mojica,2024-07-23,262939,2026-07-03T08:31:59,2024-07-23,,https://img.a.transfermarkt.technology/portrait/medium/262939-1541161893.jpg?lm=1
Justin-Noël Kalumba,Mallorca,FW,20.0,81,0.0,0.0,1.11,0.0,2.222,0.0,1.111,2.222,4.444,0.0,,justin-noel kalumba,,,,,,
Leo Román,Mallorca,GK,25.0,2970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,leo roman,2022-07-01,562742,2026-07-03T08:31:59,2022-07-01,,https://img.a.transfermarkt.technology/portrait/medium/562742-1745395600.jpg?lm=1
