player,norm_key,squad,pos,90s,dead_ball_passes_per90,free_kick_passes_per90,throw_ins_per90,corner_kicks_per90,inswing_corners_per90,outswing_corners_per90,straight_corners_per90,sca_sca90,dead_ball_sca_per90,gca_gca90,dead_ball_gca_per90,fouls_per90_fbref,fouled_per90_fbref,pens_won_per90_fbref,pens_conceded_per90_fbref
El Hadji Malick Diouf,el hadji malick diouf,West Ham United,"DF,MF",30.1,,,,,,,,,,,,0.9302325581395349,0.8305647840531561,,
Eli Junior Kroupi,eli junior kroupi,Bournemouth,"MF,FW",18.6,,,,,,,,,,,,1.4516129032258063,0.6451612903225806,,
Eliezer Mayenda,eliezer mayenda,Sunderland,"FW,MF",8.4,,,,,,,,,,,,0.7142857142857143,1.3095238095238095,,
Elliot Anderson,elliot anderson,Nottingham Forest,MF,37.0,,,,,,,,,,,,1.5405405405405406,2.1621621621621623,,
Emi Buendía,emi buendia,Aston Villa,MF,19.5,,,,,,,,,,,,2.1025641025641026,2.3076923076923075,,
Emil Krafth,emil krafth,Newcastle United,DF,0.5,,,,,,,,,,,,2.0,0.0,,
Emile Smith Rowe,emile smith rowe,Fulham,MF,21.4,,,,,,,,,,,,0.4672897196261683,0.7943925233644861,,
Emiliano Martínez,emiliano martinez,Aston Villa,GK,31.5,,,,,,,,,,,,0.0,0.5396825396825397,,
Emmanuel Agbadou,emmanuel agbadou,Wolves,DF,12.2,,,,,,,,,,,,0.819672131147541,0.4098360655737705,,
Enes Ünal,enes unal,Bournemouth,FW,2.6,,,,,,,,,,,,2.3076923076923075,3.846153846153846,,
Enzo Fernández,enzo fernandez,Chelsea,MF,34.6,,,,,,,,,,,,1.0404624277456647,1.3005780346820808,,
Enzo Le Fée,enzo le fee,Sunderland,"MF,FW",32.6,,,,,,,,,,,,0.950920245398773,1.1349693251533741,,
Erling Haaland,erling haaland,Manchester City,FW,32.8,,,,,,,,,,,,0.7317073170731708,0.7621951219512195,,
Estêvão Willian,estevao willian,Chelsea,MF,9.4,,,,,,,,,,,,1.276595744680851,0.9574468085106382,,
Ethan Ampadu,ethan ampadu,Leeds United,MF,34.7,,,,,,,,,,,,1.440922190201729,1.037463976945245,,
Ethan Nwaneri,ethan nwaneri,Arsenal,MF,1.9,,,,,,,,,,,,1.0526315789473684,0.0,,
Ethan Pinnock,ethan pinnock,Brentford,DF,3.5,,,,,,,,,,,,0.0,0.5714285714285714,,
Evanilson,evanilson,Bournemouth,FW,30.5,,,,,,,,,,,,0.8524590163934426,1.2131147540983607,,
Evann Guessand,evann guessand,Aston Villa,MF,6.5,,,,,,,,,,,,1.6923076923076923,1.8461538461538463,,
Evann Guessand,evann guessand,Crystal Palace,MF,3.7,,,,,,,,,,,,1.081081081081081,2.162162162162162,,
Ezra Mayers,ezra mayers,West Ham United,DF,1.3,,,,,,,,,,,,0.0,0.0,,
