squad,comp,comp_code,date,home_away,opponent,gf,ga,score,result,status,event_id
Inter,리그,ita.1,2027-01-03,H,Sassuolo,0,0,0-0,,scheduled,401874793
Inter,리그,ita.1,2027-01-06,A,Lazio,0,0,0-0,,scheduled,401874778
Inter,리그,ita.1,2027-01-10,H,Juventus,0,0,0-0,,scheduled,401875035
Inter,리그,ita.1,2027-01-17,A,Parma,0,0,0-0,,scheduled,401875129
Inter,리그,ita.1,2027-01-24,H,Venezia,0,0,0-0,,scheduled,401874856
Inter,리그,ita.1,2027-01-31,A,Napoli,0,0,0-0,,scheduled,401875074
Inter,리그,ita.1,2027-02-07,H,Cagliari,0,0,0-0,,scheduled,401874812
Inter,리그,ita.1,2027-02-14,H,Milan,0,0,0-0,,scheduled,401875105
Inter,리그,ita.1,2027-02-21,A,Fiorentina,0,0,0-0,,scheduled,401874802
Inter,리그,ita.1,2027-02-28,H,Atalanta,0,0,0-0,,scheduled,401874839
Inter,리그,ita.1,2027-03-07,A,Udinese,0,0,0-0,,scheduled,401875139
Inter,리그,ita.1,2027-03-14,A,Torino,0,0,0-0,,scheduled,401874851
Inter,리그,ita.1,2027-03-21,H,Frosinone,0,0,0-0,,scheduled,401875068
Inter,리그,ita.1,2027-04-04,A,Genoa,0,0,0-0,,scheduled,401875150
Inter,리그,ita.1,2027-04-11,H,Roma,0,0,0-0,,scheduled,401874822
Inter,리그,ita.1,2027-04-18,A,Monza,0,0,0-0,,scheduled,401874874
Inter,리그,ita.1,2027-04-25,H,Bologna,0,0,0-0,,scheduled,401874870
Inter,리그,ita.1,2027-05-02,A,Como,0,0,0-0,,scheduled,401875128
Inter,리그,ita.1,2027-05-09,H,Lecce,0,0,0-0,,scheduled,401875127
Inter,리그,ita.1,2027-05-16,A,Juventus,0,0,0-0,,scheduled,401874849
Inter,리그,ita.1,2027-05-23,H,Lazio,0,0,0-0,,scheduled,401874881
Inter,리그,ita.1,2027-05-30,A,Sassuolo,0,0,0-0,,scheduled,401875154
Juventus,리그,ita.1,2026-08-23,A,Frosinone,0,0,0-0,,scheduled,401874930
