target_club,player,pos_detail,age,current_club,market_value_eur,probability,date
Nice,Élie N'Gatta,Right-Back,20,FC Sochaux-Montbéliard,800000.0,,06/05/2026
Nice,Elye Wahi,Centre-Forward,23,Eintracht Frankfurt,18000000.0,,29/04/2026
PSG,Folarin Balogun,Centre-Forward,25,AS Monaco,40000000.0,,03/07/2026
PSG,Yan Diomande,Left Winger,19,RB Leipzig,90000000.0,61,30/06/2026
PSG,Maghnes Akliouche,Right Winger,24,AS Monaco,50000000.0,60,28/06/2026
PSG,Julián Alvarez,Centre-Forward,26,Atlético de Madrid,100000000.0,,27/06/2026
PSG,Khéphren Thuram,Central Midfield,25,Juventus FC,38000000.0,,24/06/2026
PSG,Alessandro Circati,Centre-Back,22,Parma Calcio 1913,12000000.0,,22/06/2026
PSG,Michael Olise,Right Winger,24,Bayern Munich,150000000.0,23,19/06/2026
PSG,Arda Güler,Attacking Midfield,21,Real Madrid,90000000.0,,15/06/2026
PSG,Ayyoub Bouaddi,Central Midfield,18,LOSC Lille,50000000.0,,13/06/2026
PSG,Ferran Torres,Centre-Forward,26,FC Barcelona,50000000.0,,13/06/2026
PSG,Junior Kroupi,Centre-Forward,20,AFC Bournemouth,70000000.0,,02/06/2026
PSG,Jorge Salinas,Left-Back,19,Racing Santander,8000000.0,,02/06/2026
PSG,Aleksey Batrakov,Attacking Midfield,21,Lokomotiv Moscow,28000000.0,37,02/06/2026
PSG,Morgan Rogers,Attacking Midfield,23,Aston Villa,90000000.0,,31/05/2026
PSG,Konstantinos Karetsas,Attacking Midfield,18,KRC Genk,35000000.0,,25/05/2026
PSG,Adem Avdic,Left-Back,18,Red Star Belgrade,10000000.0,,19/05/2026
PSG,Mile Svilar,Goalkeeper,26,AS Roma,35000000.0,,19/05/2026
PSG,Elia Caprile,Goalkeeper,24,Cagliari Calcio,15000000.0,,19/05/2026
PSG,Anatoliy Trubin,Goalkeeper,24,SL Benfica,25000000.0,,19/05/2026
PSG,Joaquin Seys,Left-Back,21,Club Brugge KV,20000000.0,,18/05/2026
PSG,Karim Adeyemi,Right Winger,24,Borussia Dortmund,40000000.0,,17/05/2026
PSG,Matvey Kislyak,Central Midfield,20,CSKA Moscow,25000000.0,,13/05/2026
PSG,Federico Valverde,Central Midfield,27,Real Madrid,90000000.0,,13/05/2026
PSG,Gabriel Mec,Attacking Midfield,18,Grêmio Foot-Ball Porto Alegrense,16000000.0,,12/05/2026
PSG,Estéban Lepaul,Centre-Forward,26,Stade Rennais FC,35000000.0,,11/05/2026
Paris FC,Arsène Kouassi,Left-Back,22,FC Lorient,15000000.0,,28/06/2026
Paris FC,Toni Fruk,Attacking Midfield,25,HNK Rijeka,9000000.0,,27/06/2026
Paris FC,Andria Bartishvili,Attacking Midfield,17,Iberia 1999 Tbilisi,1500000.0,,22/06/2026
Paris FC,Nathan De Cat,Central Midfield,17,RSC Anderlecht,27000000.0,,12/06/2026
Paris FC,Matthis Abline,Centre-Forward,23,FC Nantes,20000000.0,,11/06/2026
Paris FC,N'Golo Kanté,Defensive Midfield,35,Fenerbahce,4000000.0,,10/06/2026
Paris FC,Emmanuel Mbemba,Left-Back,18,Without ClubWithout Club,,,09/06/2026
Paris FC,Anthony Martial,Centre-Forward,30,CF Monterrey,3500000.0,,09/06/2026
Paris FC,Mohamed Alì Zoma,Second Striker,22,1.FC Nuremberg,8000000.0,,04/06/2026
Paris FC,Lorenz Assignon,Right-Back,26,VfB Stuttgart,9000000.0,,25/05/2026
